"성별","연령계층별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]",
"계","계","2020. 04 월","44724.7","27733.8","26562.1","1171.7","16990.9","62","4.2","59.4",
"계","계","2020. 05 월","44756.2","28208.6","26930.2","1278.4","16547.5","63","4.5","60.2",
"계","계","2020. 06 월","44775.3","28283.3","27055.2","1228","16492.1","63.2","4.3","60.4",
"계","계","2020. 07 월","44795.1","28243.8","27106","1137.8","16551.3","63.1","4","60.5",
"계","계","2020. 08 월","44812.6","27948.7","27084.7","864","16863.9","62.4","3.1","60.4",
"계","계","2020. 09 월","44829","28011.7","27011.7","1000","16817.3","62.5","3.6","60.3",
"계","계","2020. 10 월","44852.3","28116.4","27088.4","1028.1","16735.9","62.7","3.7","60.4",
"계","계","2020. 11 월","44883.5","28208","27241.3","966.7","16675.4","62.8","3.4","60.7",
"계","계","2020. 12 월","44916","27660.9","26525.6","1135.4","17255.1","61.6","4.1","59.1",
"계","계","2021. 01 월","44968","27388","25818.1","1569.9","17580","60.9","5.7","57.4",
"계","계","2021. 02 월","44987.2","27717.9","26364.6","1353.3","17269.3","61.6","4.9","58.6",
"계","계","2021. 03 월","45007","28138.3","26922.9","1215.4","16868.7","62.5","4.3","59.8",
"계","계","2021. 04 월","45027.3","28360.5","27213.6","1147","16666.8","63","4","60.4",
"계","계","2021. 05 월","45049","28697.7","27549.6","1148.2","16351.2","63.7","4","61.2",
"계","15 - 19세","2011. 01 월","3352","334.3","285.4","48.9","3017.6","10","14.6","8.5",
"계","15 - 19세","2011. 02 월","3354.7","280.5","248.4","32.2","3074.2","8.4","11.5","7.4",
"계","15 - 19세","2011. 03 월","3358","239.4","212.1","27.2","3118.6","7.1","11.4","6.3",
"계","15 - 19세","2011. 04 월","3360.6","217.6","199","18.6","3143","6.5","8.5","5.9",
"계","15 - 19세","2011. 05 월","3365.1","221.1","208.2","12.9","3144.1","6.6","5.8","6.2",
"계","15 - 19세","2011. 06 월","3367","240.5","210.4","30.1","3126.5","7.1","12.5","6.2",
"계","15 - 19세","2011. 07 월","3367.7","343.8","288.5","55.4","3023.8","10.2","16.1","8.6",
"계","15 - 19세","2011. 08 월","3364.9","274.4","253.4","21","3090.4","8.2","7.7","7.5",
"계","15 - 19세","2011. 09 월","3360.7","221.6","203.7","18","3139.1","6.6","8.1","6.1",
"계","15 - 19세","2011. 10 월","3357.5","219.1","202","17.1","3138.3","6.5","7.8","6",
